Muhurta Type,Date,Day,Month,Paksha,Tithi,Nakshatra,Lagna,Time (From - To),Panchanga,,,
Simanta (Baby Shower),4/12/2026,Sunday,Chaitra,Krishna,Dashami,Shravana,Mesha,6:36 AM-8:11 AM,OKPL,,,
Simanta (Baby Shower),4/29/2026,Wednesday,Vaishakha,Shukla,Trayodashi,Hasta,Vrushabha,7:16 AM-7:38 AM,OKPL,,,
Simanta (Baby Shower),3/11/2027,Thursday,Phalguna,Shukla,Tritiya,Revathi,Mesha,8:44 AM-9:30 AM,OKPL,,,
Simanta (Baby Shower),4/1/2027,Thursday,Phalguna,Krishna,Dashami,Uttarashada,Mesha,7:52 AM-8:55 AM,OKPL,,,
Vivaha (Marriage),4/20/2026,Monday,Vaishakha,Shukla,Tritiya,Rohini,Vrishabha,9:28 AM,RM,,,
Vivaha (Marriage),4/30/2026,Thursday,Vaishakha,Shukla,Chaturdashi,Chitra,Vrishabha,8:50 AM,RM,,,
Vivaha (Marriage),5/6/2026,Wednesday,Vaishakha,Krishna,Panchami,Moola,Mesha,5:50 AM,RM,,,
Vivaha (Marriage),7/5/2026,Sunday,Jyeshtha,Krishna,Panchami,Shatatara,Mithuna,5:15 AM,RM,,,
Vivaha (Marriage),2/11/2027,Thursday,Magha,Shukla,Panchami,Revati,Meena,10:10 AM,RM,,,
Vivaha (Marriage),2/11/2027,Thursday,Magha,Shukla,Panchami,Revati,Mesha,11:10 AM,RM,,,
Vivaha (Marriage),2/25/2027,Thursday,Magha,Krishna,Panchami,Chitra,Vrishabha,11:10 AM,RM,,,
Vivaha (Marriage),3/11/2027,Thursday,Phalguna,Shukla,Tritiya,Revati,Kumbha,6:40 AM,RM,,,
Vivaha (Marriage),3/15/2027,Monday,Phalguna,Shukla,Sapthami,Rohini,Kumbha,5:40 AM,RM,,,
Vivaha (Marriage),3/15/2027,Monday,Phalguna,Shukla,Sapthami,Rohini,Mesha,9:20 AM,RM,,,
Vivaha (Marriage),3/15/2027,Monday,Phalguna,Shukla,Sapthami,Mrigashira,Kumbha,10:20 AM,RM,,,
Upanayana,4/20/2026,Monday,Vaishakha,Shukla,Tritiya,Rohini,Vrishabha,9:28 AM,RM,,,
Upanayana,4/23/2026,Thursday,Vaishakha,Shukla,Sapthami,Punarvasu,Mithuna,11:25 AM,RM,,,
Upanayana,5/4/2026,Monday,Vaishakha,Krishna,Tritiya,Anuradha,Mithuna,9:05 AM,RM,,,
Upanayana,5/4/2026,Monday,Vaishakha,Krishna,Tritiya,Anuradha,Mithuna,9:40 AM,RM,,,
Upanayana,2/11/2027,Thursday,Magha,Shukla,Panchami,Revati,Mesha,11:10 AM,RM,,,
Upanayana,2/25/2027,Thursday,Magha,Krishna,Panchami,Chitra,Vrishabha,11:10 AM,RM,,,
Upanayana,2/25/2027,Thursday,Magha,Krishna,Panchami,Swati,Vrishabha,11:50 AM,RM,,,
Upanayana,3/11/2027,Thursday,Phalguna,Shukla,Tritiya,Revati,Vrishabha,11:10 AM,RM,,,
Gruhapravesha (Housewarming),4/20/2026,Monday,Shukla,Shukla,Tritiya,Rohini,Meena,5:20 AM,RM,,,
Gruhapravesha (Housewarming),4/20/2026,Monday,Shukla,Shukla,Tritiya,Rohini,Vrishabha,9:28 AM,RM,,,
Gruhapravesha (Housewarming),4/23/2026,Thursday,Shukla,Shukla,Sapthami,Punarvasu,Meena,4:45 AM,RM,,,
Gruhapravesha (Housewarming),4/29/2026,Wednesday,Shukla,Shukla,Trayodashi,Hasta,Meena,5:00 AM,RM,,,
Gruhapravesha (Housewarming),4/29/2026,Wednesday,Shukla,Krishna,Trayodashi,Hasta,Vrishabha,9:00 AM,RM,,,
Gruhapravesha (Housewarming),5/4/2026,Monday,Krishna,Krishna,Tritiya,Krittika,Kumbha,4:25 AM,RM,,,
Gruhapravesha (Housewarming),5/4/2026,Monday,Krishna,Krishna,Tritiya,Krittika,Mithuna,9:10 AM,RM,,,
Gruhapravesha (Housewarming),7/3/2026,Friday,Krishna,Shukla,Tritiya,Shravana,Vrishabha,4:20 AM,RM,,,
Gruhapravesha (Housewarming),7/5/2026,Sunday,Krishna,Krishna,Panchami,Uttara Ashadha,Vrishabha,4:20 AM,RM,,,
Gruhapravesha (Housewarming),11/30/2026,Monday,Krishna,Krishna,Sapthami,Swati,Dhanu,9:45 AM,RM,,,
Gruhapravesha (Housewarming),12/14/2026,Monday,Shukla,Shukla,Panchami,Mrigashira,Tula,4:20 AM,RM,,,
Gruhapravesha (Housewarming),12/14/2026,Monday,Shukla,Shukla,Panchami,Mrigashira,Dhanu,7:20 AM,RM,,,
Gruhapravesha (Housewarming),2/11/2027,Thursday,Shukla,Shukla,Panchami,Revati,Meena,10:10 AM,RM,,,
Gruhapravesha (Housewarming),2/25/2027,Thursday,Krishna,Krishna,Panchami,Chitra,Vrishabha,11:20 AM,RM,,,
Gruhapravesha (Housewarming),3/11/2027,Thursday,Shukla,Shukla,Tritiya,Revati,Kumbha,5:40 AM,RM,,,
Vivaha (Marriage),4/26/2026,Sunday,Vaishakha,Shukla,Dashami,Magha,Karka,11:30 AM,VM,,,
Vivaha (Marriage),5/3/2026,Sunday,Vaishakha,Krishna,Dwitiya,Anuradha,Mithuna,10:10 AM,VM,,,
Vivaha (Marriage),5/6/2026,Wednesday,Vaishakha,Krishna,Chaturthi,Moola,Mithuna/Karka,10:00 AM - 11:00 AM,VM,,,
Vivaha (Marriage),5/8/2026,Friday,Vaishakha,Krishna,Shashti,U:Shadha,Mithuna/Karka,09:50 AM - 10:50 AM,VM,,,
Vivaha (Marriage),5/10/2026,Sunday,Vaishakha,Krishna,Ashtami,Dhanishta,Mithuna/Karka,09:40 AM - 10:40 AM,VM,,,
Vivaha (Marriage),6/22/2026,Monday,Nija Jyeshta,Shukla,Ashtami,Uttara,Karka,9:15 AM,VM,,,
Vivaha (Marriage),6/24/2026,Wednesday,Nija Jyeshta,Shukla,Dashami,Chitra,Karka,8:20 AM,VM,,,
Vivaha (Marriage),7/2/2026,Monday,Nija Jyeshta,Krishna,Saptami,Magha,Mithuna,07:10 AM - 08:10 AM,VM,,,
Vivaha (Marriage),11/13/2026,Friday,Karthika,Shukla,Chaturthi,Moola,Dhanu,10:00 AM,VM,,,
Vivaha (Marriage),11/15/2026,Sunday,Karthika,Shukla,Shashti,U:Shadha,Dhanu,10:10 AM,VM,,,
Vivaha (Marriage),11/26/2026,Thursday,Karthika,Krishna,Dwitiya,Mrigashira,Dhanu,9:30 AM,VM,,,
Vivaha (Marriage),12/3/2026,Thursday,Karthika,Krishna,Dashami,Uttara,Dhanu,7:55 AM,VM,,,
Vivaha (Marriage),12/14/2026,Monday,Margashira,Shukla,Panchami,Dhanishta,Dhanu,8:15 AM,VM,,,
Vivaha (Marriage),2/10/2027,Wednesday,Magha,Shukla,Chaturthi,U:Bhadrapada,Vrushabha,12:15 PM,VM,,,
Vivaha (Marriage),2/24/2027,Wednesday,Magha,Krishna,Chaturthi,Hasta,Vrushabha,12:15 PM,VM,,,
Vivaha (Marriage),2/25/2027,Thursday,Magha,Krishna,Panchami,Chitra,Vrushabha,11:15 AM,VM,,,
Vivaha (Marriage),2/28/2027,Sunday,Magha,Krishna,Ashtami,Anuradha,Meena,12:15 PM,VM,,,
Vivaha (Marriage),3/12/2027,Friday,Phalguna,Shukla,Chaturthi,Ashwini,Vrushabha,10:10 AM,VM,,,
Vivaha (Marriage),3/14/2027,Sunday,Phalguna,Shukla,Shashti,Rohini,Vrushabha/Mithuna,10:40 AM - 12:10 PM,VM,,,
Vivaha (Marriage),3/24/2027,Wednesday,Phalguna,Krishna,Dwitiya,Chitra,Vrushabha/Mithuna,10:00 AM - 11:30 AM,VM,,,
Vivaha (Marriage),3/25/2027,Thursday,Phalguna,Krishna,Tritiya,Swati,Vrushabha/Mithuna,09:50 AM - 11:25 AM,VM,,,
